GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maville,ca.umontreal,Main,140,0,12,0,29,0,8,0,2,0
maville,ca.umontreal.restApi,RestApi,28,17,1,1,7,7,3,2,2,2
maville,ca.umontreal.restApi.csvManager,CsvManager,453,718,42,58,119,154,43,38,13,18
maville,ca.umontreal.menu,MenuNotification,378,0,35,0,95,0,31,0,13,0
maville,ca.umontreal.menu,MenuSoumettreRequete,652,32,53,1,176,6,40,2,12,2
maville,ca.umontreal.menu,MenuSeConnecter,242,4,36,0,72,2,23,1,5,1
maville,ca.umontreal.menu,MenuConsulterRequetes,455,0,40,0,129,0,32,0,11,0
maville,ca.umontreal.menu,MenuConsulterTravaux,704,0,65,0,122,0,53,0,20,0
maville,ca.umontreal.menu,Menu,14,25,0,0,6,8,4,3,4,3
maville,ca.umontreal.menu,MenuConnexion,32,45,3,3,8,11,3,4,1,2
maville,ca.umontreal.menu,MenuPrincipal,141,4,17,0,33,2,14,1,2,1
maville,ca.umontreal.menu,MenuCreerUnCompte,594,0,58,0,163,0,46,0,16,0
maville,ca.umontreal.menu,MenuPreferencesTravaux,385,0,56,0,78,0,37,0,8,0
maville,ca.umontreal.menu,MenuConsulterEntraves,266,0,31,0,72,0,23,0,7,0
maville,ca.umontreal.menu,MenuSoumettreProjet,1067,0,114,0,242,0,73,0,15,0
maville,ca.umontreal.menu,MenuExit,3,4,0,0,2,2,2,1,2,1
maville,ca.umontreal.user,User,77,33,0,0,33,12,22,1,22,1
maville,ca.umontreal.restApi.controllers,UserController,399,0,20,0,105,0,19,0,9,0
maville,ca.umontreal.restApi.controllers,RequestController,621,0,70,0,156,0,46,0,11,0
maville,ca.umontreal.restApi.controllers,CityController,421,0,18,0,98,0,24,0,15,0
